threshold,precision,recall,f1
0.34,0.9097538742023701,0.935625,0.9225080881220151
0.345,0.9111381618989653,0.935625,0.9232192414431082
0.35,0.9110840438489647,0.935,0.9228871067242443
0.355,0.9124198962465669,0.934375,0.9232669445731049
0.36,0.9134821155609906,0.93375,0.9235048678720446
0.365,0.9151348039215687,0.9334375,0.9241955445544554
0.37,0.9159509202453988,0.933125,0.9244582043343653
0.375,0.9161805342339576,0.9325,0.9242682360229209
0.38,0.9169486311904029,0.9315625,0.9241977987908851
0.385,0.9173859432799013,0.93,0.9236499068901304
0.39,0.9181846248842235,0.929375,0.9237459232800124
0.395,0.9186765615337044,0.9284375,0.9235312402859808
0.4,0.9195046439628483,0.928125,0.9237947122861586
0.405,0.9197894084855992,0.928125,0.9239384041063929
0.41,0.9205955334987593,0.9275,0.9240348692403487
0.415,0.9213797389683033,0.9265625,0.9239638516671861
0.42,0.9215930304915992,0.925625,0.9236046149048955
0.425,0.9220941103147398,0.9246875,0.9233889842409112
0.43,0.9226450405489707,0.924375,0.9235092101155167
0.435,0.9231730168644597,0.92375,0.9234614183067791
0.44,0.9236784485455114,0.9228125,0.9232452712208848
0.445,0.9238483234095894,0.92125,0.9225473321858864
0.45,0.9246940696579856,0.9209375,0.922811961797401
0.455,0.9252042740414833,0.92,0.9225947978690066
0.46,0.9252042740414833,0.92,0.9225947978690066
0.465,0.9263224181360201,0.919375,0.9228356336260979
0.47,0.9269061121613107,0.919375,0.9231251961091936
0.475,0.928842504743833,0.9178125,0.9232945614586608
0.48,0.9308594988899461,0.9171875,0.9239729261766094
0.485,0.9326128417037508,0.916875,0.9246769618657422
0.49,0.9334182860783689,0.915625,0.9244360309197034
0.495,0.9342483242898181,0.9146875,0.9243644402336965
0.5,0.9354426334292106,0.9146875,0.9249486490756834
0.505,0.9365587952579302,0.9134375,0.9248536623951906
0.51,0.9373795761078998,0.9121875,0.9246119733924612
0.515,0.9379620700739312,0.911875,0.9247345903977182
0.52,0.9379221614667096,0.91125,0.9243937232524965
0.525,0.9384268214055448,0.9096875,0.9238337035861631
0.53,0.9387096774193548,0.909375,0.9238095238095239
0.535,0.9395604395604396,0.9084375,0.9237368922783603
